#-----------------------------------------------------------------------------
# Date d'extraction : 23/06/2026 - 11h37 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020_DISTRIBUTION
# Modele     : Q50
# Scenario :
#     RCP4.5 : Emissions modérées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTX35 : Nombre de jours de fortes chaleur ( TX>35°C ) (jour(s))
#     NORTR : Nombre de nuits tropicales (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORTX35;NORTR;
#-----------------------------------------------------------------------------
2475;42.7557;0.045;RCP4.5;H1;0;0;
2476;42.7577;0.1425;RCP4.5;H1;0;0;
2477;42.7597;0.24;RCP4.5;H1;0;0;
2478;42.7616;0.3374;RCP4.5;H1;0;0;
2479;42.7634;0.4349;RCP4.5;H1;0;1;
2480;42.765;0.5324;RCP4.5;H1;0;1;
2481;42.7667;0.6299;RCP4.5;H1;0.07;1;
2484;42.7709;0.9224;RCP4.5;H1;0;0;
2485;42.7722;1.0199;RCP4.5;H1;0;0;
2486;42.7733;1.1174;RCP4.5;H1;0;0;
2487;42.7744;1.2149;RCP4.5;H1;0.05;1;
2488;42.7754;1.3125;RCP4.5;H1;0.07;1;
2489;42.7763;1.41;RCP4.5;H1;0;0;
2490;42.7771;1.5075;RCP4.5;H1;0.09;2;
2491;42.7778;1.6051;RCP4.5;H1;0.24;3;
2492;42.7784;1.7026;RCP4.5;H1;0.57;3;
2493;42.779;1.8001;RCP4.5;H1;0.05;1;
2494;42.7794;1.8977;RCP4.5;H1;0;1;
2495;42.7798;1.9952;RCP4.5;H1;0;1;
2496;42.78;2.0927;RCP4.5;H1;0.15;4;
2497;42.7802;2.1903;RCP4.5;H1;0.35;5;
2498;42.7803;2.2878;RCP4.5;H1;0.55;6;
2499;42.7803;2.3854;RCP4.5;H1;0.42;12;
2500;42.7802;2.4829;RCP4.5;H1;2.58;22;
2501;42.78;2.5804;RCP4.5;H1;3.83;30;
2502;42.7798;2.678;RCP4.5;H1;4.75;40;
2503;42.7794;2.7755;RCP4.5;H1;2.24;54;
2504;42.779;2.873;RCP4.5;H1;3.67;65;
2505;42.7784;2.9706;RCP4.5;H1;4.37;67;
2506;42.7778;3.0681;RCP4.5;H1;6.31;56;
2564;42.5894;8.7114;RCP4.5;H1;1.55;71;
2565;42.5835;8.8083;RCP4.5;H1;1.3;66;
2566;42.5776;8.9052;RCP4.5;H1;1.44;49;
2567;42.5716;9.002;RCP4.5;H1;0.58;34;
2568;42.5654;9.0989;RCP4.5;H1;0.67;34;
2569;42.5592;9.1957;RCP4.5;H1;0.07;23;
2570;42.5529;9.2925;RCP4.5;H1;0.22;29;
2571;42.5465;9.3892;RCP4.5;H1;1.27;35;
2572;42.54;9.486;RCP4.5;H1;0.68;79;
2611;42.8106;-0.6407;RCP4.5;H1;0;0;
2612;42.8133;-0.5431;RCP4.5;H1;0;0;
2613;42.8159;-0.4456;RCP4.5;H1;0;0;
2614;42.8184;-0.3481;RCP4.5;H1;0;0;
2615;42.8208;-0.2505;RCP4.5;H1;0;0;
2616;42.8231;-0.1529;RCP4.5;H1;0;0;
2617;42.8254;-0.0554;RCP4.5;H1;0;0;
2618;42.8275;0.0422;RCP4.5;H1;0;1;
2619;42.8296;0.1398;RCP4.5;H1;0;0;
2620;42.8315;0.2374;RCP4.5;H1;0;0;
2621;42.8334;0.335;RCP4.5;H1;0.1;2;
2622;42.8352;0.4326;RCP4.5;H1;0;2;
2623;42.8369;0.5302;RCP4.5;H1;0;1;
2624;42.8385;0.6278;RCP4.5;H1;0.13;2;
2625;42.84;0.7254;RCP4.5;H1;0.23;2;
2626;42.8414;0.823;RCP4.5;H1;0;1;
2627;42.8428;0.9206;RCP4.5;H1;0;0;
2628;42.844;1.0183;RCP4.5;H1;0.09;1;
2629;42.8452;1.1159;RCP4.5;H1;0;0;
2630;42.8463;1.2136;RCP4.5;H1;1.25;2;
2631;42.8472;1.3112;RCP4.5;H1;0.36;2;
2632;42.8481;1.4088;RCP4.5;H1;0.04;1;
2633;42.8489;1.5065;RCP4.5;H1;0.14;2;
2634;42.8497;1.6041;RCP4.5;H1;1;5;
2635;42.8503;1.7018;RCP4.5;H1;0.03;1;
2636;42.8508;1.7995;RCP4.5;H1;0.03;1;
2637;42.8513;1.8971;RCP4.5;H1;0.33;3;
2638;42.8516;1.9948;RCP4.5;H1;0.22;4;
2639;42.8519;2.0924;RCP4.5;H1;0.42;6;
2640;42.8521;2.1901;RCP4.5;H1;1.6;10;
2641;42.8522;2.2877;RCP4.5;H1;1.02;9;
2642;42.8522;2.3854;RCP4.5;H1;0.92;13;
2643;42.8521;2.4831;RCP4.5;H1;1.79;18;
2644;42.8519;2.5807;RCP4.5;H1;2.76;22;
2645;42.8516;2.6784;RCP4.5;H1;5.29;30;
2646;42.8513;2.776;RCP4.5;H1;1.92;47;
2647;42.8508;2.8737;RCP4.5;H1;2.06;54;
2648;42.8503;2.9714;RCP4.5;H1;3.77;62;
2649;42.8497;3.069;RCP4.5;H1;5.2;67;
2709;42.6492;8.9133;RCP4.5;H1;1.52;70;
2710;42.6431;9.0103;RCP4.5;H1;1.31;67;
2711;42.637;9.1072;RCP4.5;H1;1.27;57;
2712;42.6308;9.2042;RCP4.5;H1;0.85;38;
2713;42.6245;9.3011;RCP4.5;H1;1.79;64;
2714;42.6181;9.398;RCP4.5;H1;2.68;51;
2715;42.6116;9.4948;RCP4.5;H1;0.55;81;
2753;42.8797;-0.742;RCP4.5;H1;0;0;
2754;42.8824;-0.6444;RCP4.5;H1;0;1;
2755;42.8851;-0.5467;RCP4.5;H1;0;3;
2756;42.8877;-0.4491;RCP4.5;H1;0;1;
2757;42.8902;-0.3514;RCP4.5;H1;0;0;
2758;42.8926;-0.2537;RCP4.5;H1;0;0;
2759;42.895;-0.156;RCP4.5;H1;0;1;
2760;42.8972;-0.0584;RCP4.5;H1;0.03;1;
2761;42.8993;0.0393;RCP4.5;H1;0;0;
2762;42.9014;0.137;RCP4.5;H1;0;0;
2763;42.9034;0.2348;RCP4.5;H1;0;0;
2764;42.9052;0.3325;RCP4.5;H1;0.17;2;
