#-----------------------------------------------------------------------------
# Date d'extraction : 23/06/2026 - 11h30 loc.
#-----------------------------------------------------------------------------
# Producteur : MF
# Experience : Explore2-HydroEau-Adamont-2024_distribution
# Modele     : Q50_SIM2
# Scenario :
#     RCP4.5 : Emissions modérées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORSWIAV : Indicateur moyen d'humidité des sols
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORSWIAV;
#-----------------------------------------------------------------------------
2791;42.9221;2.9722;RCP4.5;H1;0.49;
2792;42.9215;3.0699;RCP4.5;H1;0.45;
2853;42.7147;9.0185;RCP4.5;H1;0.43;
2854;42.7086;9.1156;RCP4.5;H1;0.37;
2855;42.7023;9.2127;RCP4.5;H1;0.44;
2856;42.696;9.3097;RCP4.5;H1;0.42;
2857;42.6896;9.4067;RCP4.5;H1;0.54;
2893;42.9426;-1.039;RCP4.5;H1;0.85;
2894;42.9457;-0.9413;RCP4.5;H1;0.85;
2895;42.9486;-0.8436;RCP4.5;H1;0.85;
2896;42.9515;-0.7458;RCP4.5;H1;0.89;
2897;42.9543;-0.6481;RCP4.5;H1;0.79;
2898;42.9569;-0.5503;RCP4.5;H1;0.81;
2899;42.9595;-0.4525;RCP4.5;H1;0.81;
2900;42.962;-0.3547;RCP4.5;H1;0.82;
2901;42.9645;-0.2569;RCP4.5;H1;0.71;
2902;42.9668;-0.1591;RCP4.5;H1;0.69;
2903;42.969;-0.0613;RCP4.5;H1;0.65;
2904;42.9712;0.0365;RCP4.5;H1;0.75;
2905;42.9732;0.1343;RCP4.5;H1;0.74;
2906;42.9752;0.2321;RCP4.5;H1;0.71;
2907;42.9771;0.33;RCP4.5;H1;0.78;
2908;42.9789;0.4278;RCP4.5;H1;0.73;
2909;42.9806;0.5257;RCP4.5;H1;0.71;
2910;42.9822;0.6235;RCP4.5;H1;0.68;
2911;42.9837;0.7214;RCP4.5;H1;0.64;
2912;42.9851;0.8192;RCP4.5;H1;0.69;
2913;42.9865;0.9171;RCP4.5;H1;0.69;
2914;42.9877;1.015;RCP4.5;H1;0.7;
2915;42.9889;1.1129;RCP4.5;H1;0.64;
2916;42.99;1.2108;RCP4.5;H1;0.65;
2917;42.9909;1.3086;RCP4.5;H1;0.68;
2918;42.9918;1.4065;RCP4.5;H1;0.68;
2919;42.9927;1.5044;RCP4.5;H1;0.67;
2920;42.9934;1.6023;RCP4.5;H1;0.65;
2921;42.994;1.7002;RCP4.5;H1;0.69;
2922;42.9945;1.7981;RCP4.5;H1;0.64;
2923;42.995;1.896;RCP4.5;H1;0.65;
2924;42.9953;1.9939;RCP4.5;H1;0.59;
2925;42.9956;2.0918;RCP4.5;H1;0.61;
2926;42.9958;2.1897;RCP4.5;H1;0.54;
2927;42.9959;2.2876;RCP4.5;H1;0.55;
2928;42.9959;2.3855;RCP4.5;H1;0.59;
2929;42.9958;2.4834;RCP4.5;H1;0.56;
2930;42.9956;2.5813;RCP4.5;H1;0.53;
2931;42.9953;2.6792;RCP4.5;H1;0.53;
2932;42.995;2.7771;RCP4.5;H1;0.48;
2933;42.9945;2.875;RCP4.5;H1;0.48;
2934;42.994;2.9729;RCP4.5;H1;0.43;
2935;42.9934;3.0708;RCP4.5;H1;0.45;
2999;42.7676;9.3183;RCP4.5;H1;0.42;
3000;42.7612;9.4155;RCP4.5;H1;0.6;
3032;43.0013;-1.4345;RCP4.5;H1;0.84;
3033;43.0047;-1.3367;RCP4.5;H1;0.86;
3034;43.0081;-1.2389;RCP4.5;H1;0.86;
3035;43.0113;-1.1411;RCP4.5;H1;0.85;
3036;43.0144;-1.0433;RCP4.5;H1;0.85;
3037;43.0175;-0.9454;RCP4.5;H1;0.83;
3038;43.0204;-0.8475;RCP4.5;H1;0.82;
3039;43.0233;-0.7497;RCP4.5;H1;0.84;
3040;43.0261;-0.6518;RCP4.5;H1;0.79;
3041;43.0288;-0.5539;RCP4.5;H1;0.82;
3042;43.0313;-0.456;RCP4.5;H1;0.82;
3043;43.0339;-0.3581;RCP4.5;H1;0.83;
3044;43.0363;-0.2602;RCP4.5;H1;0.82;
3045;43.0386;-0.1623;RCP4.5;H1;0.71;
3046;43.0408;-0.0643;RCP4.5;H1;0.75;
3047;43.043;0.0336;RCP4.5;H1;0.77;
3048;43.0451;0.1316;RCP4.5;H1;0.77;
3049;43.047;0.2295;RCP4.5;H1;0.75;
3050;43.0489;0.3275;RCP4.5;H1;0.72;
3051;43.0507;0.4254;RCP4.5;H1;0.67;
3052;43.0524;0.5234;RCP4.5;H1;0.65;
3053;43.054;0.6214;RCP4.5;H1;0.6;
3054;43.0555;0.7194;RCP4.5;H1;0.59;
